ADVWW,13-Jan-2025,0.0146,0.015,0.0119,0.0145,327900
ADXN,13-Jan-2025,7.99,8.356,7.28,7.65,68400
AEHL,13-Jan-2025,0.1805,0.183,0.151,0.1657,2505900
AEHR,13-Jan-2025,15.79,16.1,15.04,15.99,3020500
AEI,13-Jan-2025,0.92,0.9206,0.8301,0.8541,252000
AEIS,13-Jan-2025,115.89,117.96,114.66,117.35,149200
AEMD,13-Jan-2025,0.64,0.6569,0.62,0.635,672200
AENT,13-Jan-2025,7.3,7.45,5.59,5.89,162100
AENTW,13-Jan-2025,0.3555,0.4636,0.222,0.222,27100
AEP,13-Jan-2025,95.15,95.92,92.76,94.54,6012700
AERT,13-Jan-2025,0.8099,0.8413,0.76,0.7713,72500
AEYE,13-Jan-2025,14.6,15.1932,14.41,14.78,175200
AFBI,13-Jan-2025,17.56,17.56,17.45,17.45,27500
AFCG,13-Jan-2025,8.16,8.35,8.13,8.33,141200
AFJK,13-Jan-2025,10.85,10.85,10.85,10.85,300
AFMD,13-Jan-2025,1.16,1.16,1.08,1.12,229000
AFRI,13-Jan-2025,9.73,9.9499,9.73,9.93,10900
AFRIW,13-Jan-2025,1.2,1.32,1.03,1.05,14800
AFRM,13-Jan-2025,53.45,54.71,52.65,54.69,7070200
AFYA,13-Jan-2025,15.01,15.32,14.96,15.2,87900
AGAE,13-Jan-2025,0.923,0.97,0.9,0.924,22000
AGEN,13-Jan-2025,3.02,3.16,2.96,3.155,158700
AGFY,13-Jan-2025,25.02,26,22.582,22.97,21600
AGIO,13-Jan-2025,34.06,34.73,33.79,34.3,503200
AGIX,13-Jan-2025,28.05,28.24,27.9,28.24,8800
AGMH,13-Jan-2025,1.36,1.42,1.3,1.3276,4200
AGMI,13-Jan-2025,25.31,25.31,25.0585,25.0585,1100
AGNC,13-Jan-2025,9.145,9.155,8.96,9.12,22267500
AGNCL,13-Jan-2025,24.48,24.57,24.25,24.5,25000
AGNCM,13-Jan-2025,25.06,25.09,24.87,25.04,36100
AGNCN,13-Jan-2025,25.59,25.65,25.5201,25.57,49500
AGNCO,13-Jan-2025,25.15,25.3,25.12,25.2,53800
AGNCP,13-Jan-2025,24.56,24.74,24.52,24.69,111000
AGNG,13-Jan-2025,29.99,30.15,29.9401,30.14,6300
AGRI,13-Jan-2025,2.34,2.37,2.2386,2.33,63300
AGYS,13-Jan-2025,125.9,128.19,124.72,127.53,267900
AGZD,13-Jan-2025,22.56,22.6399,22.41,22.59,332800
AHCO,13-Jan-2025,10.13,10.45,10.04,10.33,870600
AHG,13-Jan-2025,1.2,1.43,1.2,1.3,32000
AIA,13-Jan-2025,65.48,65.86,65.48,65.86,20000
AIEV,13-Jan-2025,0.34,0.35,0.32,0.34,167100
AIFF,13-Jan-2025,2.17,2.21,1.86,1.9,142300
AIFU,13-Jan-2025,0.431,0.431,0.33,0.34,4737900
AIHS,13-Jan-2025,0.91,0.996,0.91,0.9307,3500
AIMAU,13-Jan-2025,11.63,12.27,11.63,12.27,500
AIMD,13-Jan-2025,0.695,0.74,0.5521,0.5801,1147500
AIMDW,13-Jan-2025,0.12,0.19,0.1001,0.19,2600
AIOT,13-Jan-2025,5.63,5.8,5.49,5.63,2532700
AIP,13-Jan-2025,11.09,11.36,10.72,11.22,216900
